m1.kg,m2.kg,v10.m.s,v1f.ms,v2f.ms,p0.kgms,pf.kgms,E0.J,Ef.J,dE.J,EE0,section
0.3036,0.3029,0.298,0.0172,-0.201,0.0904728,-0.05566098,0.0134804472,0.006163639962,-0.007316807238,-0.542771848,6
0.3036,0.3029,0.321,-0.0194,0.271,0.0974556,0.07619606,0.0156416238,0.0111797709,-0.004461852902,-0.2852550962,6
0.3036,0.3029,0.667,-0.0102,0.556,0.2025012,0.16531568,0.0675341502,0.04683444047,-0.02069970973,-0.3065072954,6
0.5517,0.5526,0.618,-0.008657,0.554,0.3409506,0.3013643331,0.1053537354,0.08482156401,-0.02053217139,-0.1948879299,6
0.5517,0.5526,0.525,-0.0321,0.466,0.2896425,0.23980203,0.07603115625,0.0602844414,-0.01574671485,-0.2071087121,6
0.5517,0.5526,0.605,-0.0165,0.54,0.3337785,0.28930095,0.1009679963,0.08064418016,-0.02032381609,-0.2012896843,6
0.4285,0.4276,0.545,0.00244,0.526,0.2335325,0.22596314,0.06363760625,0.05915460436,-0.004483001891,-0.070445797,6
0.4285,0.4276,0.527,0.00828,0.346,0.2258195,0.15149758,0.05950343825,0.02560996944,-0.03389346881,-0.5696052163,6
0.4285,0.4276,0.612,0.002,0.476,0.262242,0.2043946,0.080246052,0.0484428058,-0.0318032462,-0.3963216309,6
0.3028,0.8019,0.477,-0.242,0.345,0.1444356,0.2033779,0.0344478906,0.05658966335,0.02214177275,0.6427613524,6
0.6765,0.4274,0.796,0.0639,0.452,0.538494,0.23641315,0.214320612,0.04504091058,-0.1692797014,-0.7898433092,6
0.6765,0.4274,0.456,0.0592,0.0917,0.308484,0.07924138,0.070334352,0.002982424273,-0.06735192773,-0.9575964776,6
0.6765,0.4274,0.421,0.0215,0.512,0.2848065,0.23337355,0.05995176825,0.05617652886,-0.003775239388,-0.06297127671,6
0.6765,0.4274,0.535,0.0908,0.439,0.3619275,0.2490548,0.09681560625,0.04397322718,-0.05284237907,-0.5458043503,6
0.4281,0.4286,0.525,0.00917,0.275,0.2247525,0.121790677,0.05899753125,0.01622443673,-0.04277309452,-0.72499804,6
0.5532,0.5534,0.481,0.0384,0.433,0.2660892,0.26086508,0.0639944526,0.0522860696,-0.011708383,-0.182959343,6
0.5532,0.5534,0.534,0.0364,0.51,0.2954088,0.30237048,0.0788741496,0.07233615394,-0.006537995664,-0.08289148849,6
0.5532,0.5534,0.465,0,0.563,0.257238,0.3115642,0.059807835,0.0877053223,0.0278974873,0.466452051,6
0.5532,0.5531,0.631,0.0218,0.644,0.3490692,0.36825616,0.1101313326,0.1148266922,0.004695359584,0.04263418478,6
0.5532,0.5531,0.498,0.00956,0.442,0.2754936,0.249758792,0.0685979064,0.05405319367,-0.01454471273,-0.2120285223,6
0.5532,0.5531,0.986,0.0785,0.935,0.5454552,0.5605747,0.2689094136,0.2434714021,-0.0254380115,-0.09459695427,6
0.3032,0.3041,0.484,0.0289,0.439,0.1467488,0.14226238,0.0355132096,0.02942984589,-0.006083363714,-0.1712986177,4
0.3032,0.3041,0.529,0.00133,0.498,0.1603928,0.151845056,0.0424238956,0.03770927637,-0.004714619235,-0.111131219,4
0.3032,0.3041,0.593,0.00172,0.573,0.1797976,0.174770804,0.0533099884,0.04992287294,-0.003387115457,-0.06353622573,4
0.3032,0.3041,0.626,0,0.594,0.1898032,0.1806354,0.0594084016,0.0536487138,-0.0057596878,-0.09695072826,4
0.3032,0.3041,0.408,0.00239,0.384,0.1237056,0.117499048,0.0252359424,0.02242155075,-0.002814391646,-0.1115231443,4
0.3025,0.3031,0.233,0.00378,0.214,0.0704825,0.06600685,0.00821121125,0.006942544921,-0.00126866633,-0.154504164,4
0.3025,0.3031,0.178,0.0302,0.214,0.053845,0.0739989,0.004792205,0.00707832985,0.00228612485,0.4770507209,4
0.3025,0.3031,0.345,0.01,0.339,0.1043625,0.1057759,0.01800253125,0.01743140255,-0.0005711287,-0.03172491091,4
0.3025,0.3031,0.197,-0.000667,0.167,0.0595925,0.0504159325,0.00586986125,0.004226645239,-0.001643216011,-0.2799412014,4
0.3025,0.3031,0.241,0.00389,0.219,0.0729025,0.067555625,0.00878475125,0.00727077828,-0.00151397297,-0.1723410176,4
0.3041,0.3031,0.396,0.000167,0.371,0.1204236,0.1125008847,0.0238438728,0.02085949779,-0.002984375009,-0.1251631828,4
0.3041,0.3031,0.447,0.000167,0.424,0.1359327,0.1285651847,0.03038095845,0.02724505704,-0.003135901409,-0.1032193048,4
0.3041,0.3031,0.351,0.0107,0.332,0.1067391,0.10388307,0.01873271205,0.0167218554,-0.002010856646,-0.1073446621,4
0.3031,0.3041,0.391,0.00104,0.345,0.1185121,0.105229724,0.02316911555,0.01809791517,-0.005071200384,-0.218877599,4
0.5525,0.3037,0.61,0.179,0.586,0.337025,0.2768657,0.102792625,0.06099600885,-0.04179661615,-0.4066110399,4
0.5525,0.3037,0.44,0.084,0.493,0.2431,0.1961341,0.053482,0.03885621065,-0.01462578935,-0.2734712492,4
0.5525,0.3037,0.617,0.133,0.706,0.3408925,0.2878947,0.1051653363,0.08057409285,-0.0245912434,-0.2338341157,4
0.5525,0.3037,0.604,0.151,0.716,0.33371,0.3008767,0.10078042,0.08414558985,-0.01663483015,-0.1650601392,4
0.5525,0.3037,0.676,0.184,0.79,0.37349,0.341583,0.12623962,0.104122305,-0.022117315,-0.1752010581,4
0.5517,0.3028,0.433,0.0481,0.46,0.2388861,0.16582477,0.05171884065,0.03267444932,-0.01904439133,-0.3682292776,4
0.5517,0.3028,0.497,0.13,0.611,0.2741949,0.2567318,0.06813743265,0.0611826644,-0.00695476825,-0.1020697138,4
0.5517,0.3028,0.615,0.168,0.711,0.3392955,0.3079764,0.1043333663,0.0843214698,-0.02001189645,-0.1918072537,4
0.5517,0.3028,0.71,0.215,0.754,0.391707,0.3469267,0.139055985,0.09882448865,-0.04023149635,-0.2893186967,4
0.5517,0.3028,0.605,0.168,0.71,0.3337785,0.3076736,0.1009679963,0.0841063304,-0.01686166585,-0.1670001038,4
0.5525,0.4285,0.426,0.131,0.484,0.235365,0.2797715,0.050132745,0.05493007425,0.00479732925,0.0956925309,4
0.5525,0.4285,0.548,0.0324,0.504,0.30277,0.233865,0.08295898,0.0547129242,-0.0282460558,-0.3404821973,4
0.5525,0.4285,0.542,0.0714,0.552,0.299455,0.2759805,0.081152305,0.06669114345,-0.01446116155,-0.1781977918,4
0.5525,0.4285,0.389,0.114,0.443,0.2149225,0.2528105,0.04180242625,0.04563649325,0.003834067,0.09171876716,4
0.5525,0.4285,0.553,0.0699,0.665,0.3055325,0.32357225,0.08447973625,0.09609646651,0.01161673026,0.1375090735,4
0.428,0.3037,0.357,0.0338,0.335,0.152796,0.1162059,0.027274086,0.01728584841,-0.00998823759,-0.3662171334,8
0.428,0.3037,0.325,0.0301,0.385,0.1391,0.1298073,0.02260375,0.02270185239,0.00009810239,0.004340093569,8
0.428,0.3037,0.406,0.0382,0.405,0.173768,0.1393481,0.035274904,0.02521947361,-0.01005543039,-0.2850590434,8
0.428,0.3037,0.541,0.0863,0.558,0.231548,0.206401,0.062633734,0.04887442906,-0.01375930494,-0.2196788226,8
0.428,0.3037,0.328,0.00333,0.3,0.140384,0.09253524,0.023022976,0.01366887302,-0.009354102975,-0.4062942591,8
0.5525,0.4272,0.602,0.0969,0.605,0.332605,0.31199325,0.100114105,0.08077681976,-0.01933728524,-0.1931524558,8
0.5525,0.4272,0.672,0.0797,0.711,0.37128,0.34777345,0.12475008,0.1097340505,-0.01501602954,-0.1203688971,8
0.5525,0.4272,0.51,0.0504,0.542,0.281775,0.2593884,0.071852625,0.0634497096,-0.0084029154,-0.1169465333,8
0.5525,0.4272,0.537,0.0558,0.603,0.2966925,0.2884311,0.07966193625,0.07852702545,-0.0011349108,-0.01424658819,8
0.5525,0.4272,0.592,0.0629,0.582,0.32708,0.28338265,0.09681568,0.07344440466,-0.02337127534,-0.241399692,8
0.4281,0.3038,0.321,0,0.297,0.1374201,0.0902286,0.02205592605,0.0133989471,-0.00865697895,-0.3925012684,8
0.4281,0.3038,0.28,0,0.301,0.119868,0.0914438,0.01678152,0.0137622919,-0.0030192281,-0.1799138636,8
0.4281,0.3038,0.273,0.0609,0.24,0.1168713,0.09898329,0.01595293245,0.009543310781,-0.00640962167,-0.401783289,8
0.4281,0.3038,0.519,0.0489,0.409,0.2221839,0.14518829,0.05765672205,0.0259218224,-0.03173489965,-0.5504110973,8
0.4281,0.3038,0.263,0.0142,0.249,0.1125903,0.08172522,0.01480562445,0.009461112942,-0.005344511508,-0.3609784596,8
0.3038,0.5531,0.268,0.142,0.165,0.0814184,0.1344011,0.0109100656,0.01059198535,-0.00031808025,-0.02915475137,8
0.3038,0.5531,0.495,-0.115,0.199,0.150381,0.0751299,0.0372192975,0.01296053405,-0.02425876345,-0.6517791866,8
0.3038,0.5531,0.325,-0.0704,0.132,0.098735,0.05162168,0.0160444375,0.005571447904,-0.0104729896,-0.6527489416,8
0.3038,0.5531,0.402,-0.0621,0.21,0.1221276,0.09728502,0.0245476476,0.01278164368,-0.01176600392,-0.4793128903,8
0.3038,0.5531,0.318,-0.12,0.155,0.0966084,0.0492745,0.0153607356,0.00883147375,-0.00652926185,-0.4250617952,8
0.5521,0.3038,0.42,0.0759,0.426,0.231882,0.17132319,0.04869522,0.029156476,-0.019538744,-0.4012456253,8
0.5521,0.3038,0.253,0.25,0.217,0.1396813,0.2039496,0.01766968445,0.0244059441,0.00673625965,0.3812325947,8
0.5521,0.3038,0.404,0.0676,0.406,0.2230484,0.16066476,0.0450557768,0.02630007065,-0.01875570615,-0.4162775006,8
0.5521,0.3038,0.391,0.265,0.252,0.2158711,0.2228641,0.04220280005,0.02903186885,-0.0131709312,-0.3120866669,8
0.5521,0.3038,0.352,0.395,0.374,0.1943392,0.3317007,0.0342036992,0.06431786565,0.03011416645,0.8804359515,8
0.428,0.3038,0.382,0.0403,0.341,0.163496,0.1208442,0.031227736,0.01801063916,-0.01321709684,-0.4232486415,8
0.428,0.3038,0.235,0.0766,0.133,0.10058,0.0731902,0.01181815,0.00394261694,-0.00787553306,-0.6663930531,8
0.428,0.3038,0.331,0.00744,0.357,0.141668,0.11164092,0.023446054,0.01937134877,-0.00407470523,-0.1737906613,8
0.428,0.3038,0.27,0.00983,0.207,0.11556,0.06709384,0.0156006,0.006529441685,-0.009071158315,-0.5814621435,8
0.428,0.3038,0.229,0.0217,0.198,0.098012,0.06944,0.011222374,0.00605585806,-0.00516651594,-0.460376382,8